product_name,category,strain_1,strain_2,strain_3,strain_1_description,strain_2_description,gpt_description,gpt_description_short,effects
MOTOR BREATH,Flower,Chem Dawg,SFV OG,,"Chemdawg, officially named ""Chemdog,"" is a hybrid marijuana strain grown and spread by the breeder Chemdog since 1991. In a Leafly interview, Chemdog relates how Chemdog came from what was thought to be Northern California bag seed, via a Colorado Grateful Dead concert. Chem 91, Chem 4, and Chem Sis are all variations on Chemdog. The original name Chemdog came from two names for the same bud ""Chem"" and ""Dog bud."" Chemdog evolved into the variation 'Chemdawg' over time and distance as other growers and breeders propagated it, with the latter name becoming more dominant. Leafly customers tell us Chemdawg effects include feeling euphoric, uplifted, and creative. Medical marijuana patients often choose Chemdawg when dealing with symptoms associated with stress, anxiety, and pain. Chemdog is a staple strain in cannabis and may be a source of powerhouse strains like Sour Diesel and OG Kush, Chemdog is known for its distinct, diesel-like aroma. Pungent and sharp, you’ll be able to smell this strain from a mile away. Cannabis newbies be warned: Chemdog tends to be very potent. Consumers can expect to have a cerebral experience, coupled with a strong heavy-bodied feeling.","SFV OG, also known as ""San Fernando Valley OG,"" ""San Fernando Valley Kush,"" and ""San Fernando Valley"" is a sativa-dominant hybrid marijuana strain from Cali Connection that is great for patients who need strong pain relief but don’t want to be stuck on the couch. As the name indicates, this OG Kush relative originates from California’s San Fernando Valley. Although their names are barely distinguishable, SFV OG Kush is actually the Afghani-crossed child to SFV OG. Leading with aromatic notes of earthy pine and lemon, its body effects take a little longer to feel than the initial head haziness.","Motor Breath is a potent cannabis strain created by crossing Chemdawg and SFV OG, combining the best of both parent strains. It delivers a powerful, uplifting high with a strong cerebral effect from Chemdawg, while SFV OG adds a relaxing body buzz without leaving you couch-locked. The strain is known for its pungent, diesel-like aroma from Chemdawg, along with earthy, piney notes and a touch of citrus from SFV OG. With its high THC content, Motor Breath is perfect for experienced users seeking relief from pain, stress, and anxiety while staying functional.","Motor Breath, a hybrid cross of Chemdawg and SFV OG, delivers uplifting euphoria and relaxing body effects. Its diesel aroma with earthy pine and citrus notes offer fast relief from stress and pain while keeping you clear-headed. Perfect for a balanced, functional high without the couch-lock.",
Jack Herer,Flower,Tropicana Cherry,Tropicana Cookies,Cherry Cookies,"Jack Herer, also known as ""JH,"" ""The Jack,"" ""Premium Jack,"" and ""Platinum Jack"" is a sativa-dominant marijuana strain that captures both cerebral elevation and heavy resin production. Jack Herer’s effects include feeling energetic, creative, and uplifted. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative. this spicy, pine-scented strain has taken home numerous awards for its quality and potency.Jack Herer, also known as ""JH,"" ""The Jack,"" ""Premium Jack,"" and ""Platinum Jack"" is a sativa-dominant marijuana strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. Leafly reviewers tell us that Jack Herer’s effects include feeling energetic, creative, and uplifted. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative. Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, this spicy, pine-scented strain has taken home numerous awards for its quality and potency.Feelings:
Focused
.Energetic
.Creative

Helps with:
Stress
.Anxiety
.Depression","Tropicana Cherry, also known as “Tropiccana Cherry” or “Cherry Tropicana,” is a slightly sativa dominant hybrid strain (60% sativa/40% indica) created through crossing the infamous Tropicana Cookies X Cherry Cookies strains. Love a super heavy flavor? Tropicana Cherry is the bud for you. This lovely lady packs flavors of sweet and sour citrus wrapped up with overly ripe cherries and earthy nuttiness, intensifying in fruitiness the more that you toke. The aroma is similar, although heavier and sourer in nature with a sharp citrus overtone that will leave your eyes wide open. The Tropicana Cherry high is just as vibrant, with effects that will have you feeling energized, up and moving whether it's handling chores at home or hiking in the great outdoors with friends. You'll feel euphoric with an overall cerebral stimulation that gets your mind moving as it shakes off any negative thoughts. These bright and cheerful effects accompanied by its 16-21% average THC level make Tropicana Cherry ideal for treating chronic stress or anxiety, mood swings, depression and chronic fatigue. This bud has oversized rounded forest green nugs with deep purple undertones, light amber hairs and tiny frosty white crystal trichomes.","Jack Herer is a sativa-dominant strain, created by crossing a Haze hybrid with Northern Lights #5 and Shiva Skunk. It offers a spicy, pine aroma and delivers an energetic, creative, and uplifting high. Known for its clear-headed effects, Jack Herer helps boost focus while easing stress, anxiety, and depression.",,GUSH MINTZ | Kush Mints | Gushers | f1 Durbs | FINAL GUSH MINTZ DESCRIPTION
Banana Punch,Flower,Banana OG,Purple Punch,FINAL,"Banana Punch is an evenly balanced hybrid marijuana strain made by crossing Banana OG with Purple Punch. This strain produces sedating effects that can be felt from head-to-toe. Banana Punch tastes like hazey berries with notes of freshly cut pineapple and of course, bananas. Conumers say this strain is a ""creeper strain"", which means the high will come on slower than you might expect, so take it easy with this one until you know how it effects your body. Growers say Banana Punch flowers into nugs that are cakey and covered in a heavy layer of purple and orange trichomes. Medical marijuana patients choose this strain to help relieve symptoms associated with anxiety, appetite loss and stress.","Banana OG is an indica-dominant cross of OG Kush and Banana. With a smell and flavor of overripe bananas, this hybrid definitely earns its name. Banana OG has has a reputation as a creeper, leaving those who over-imbibe in a near comatose state before intense hunger and sleepiness set in. Patients treating muscular pain, appetite loss, and insomnia may benefit from Banana OG.","The fusion of Banana OG and Purple Punch creates a deeply relaxing indica hybrid with a delectable flavor profile. This offspring strain combines the sweet, fruity notes of overripe bananas with the rich, dessert-like aromas of grape candy and blueberry muffins. The effects come on gradually, easing you into a state of full-body relaxation that’s perfect for unwinding at the end of the day. Expect a potent high that soothes both mind and body, making it ideal for managing stress, minor aches, and insomnia, while also satisfying any late-night cravings with its mouthwatering flavor.","Banana Punch is a balanced hybrid created by crossing Banana OG and Purple Punch. It has a smooth, fruity flavor with hints of hazy berries, pineapple, and bananas. The high is relaxing and sedating, gradually building to a full-body calm that can ease anxiety, stress, and boost appetite. This strain is perfect for unwinding, but be mindful of its slow onset and potent effects.",
Hash Burger,Flower,han solo hash plant,double burger,,"Hash Burger is a slightly indica dominant hybrid strain (60% indica/40% sativa) created through crossing the iconic Han Solo Hash Plant X Double Burger strains. Named for its celebrity parentage and bold flavor, Hash Burger is a great balanced option for any indica lover. This bud packs a sweet yet super spicy lemony hash taste accented by a touch of woody pine and fresh flowers. The aroma is just as delicious, although it does take the spicy level up a notch or five. The Hash Burger high will come burning through a few seconds after your final exhale, working through your brain first before taking on the rest of your body. You'll find your spirits lifted as your mind is filled with a happy euphoria that instantly edges out any bad moods or negative thoughts. A physical relaxation comes next, seeping into your body and leaving you feeling pretty couch-locked and super sleepy at times. With these effects and its super high 27% average THC level, Hash Burger is often said to be perfect for treating a variety of conditions including insomnia, depression or mood swings, chronic stress or PTSD and appetite loss. This bud has dense spade-shaped forest green nugs with bright amber undertones, thin hairs and chunky matching trichomes.","Han Solo Hashplant, also known as “Han Solo Hash Plant” or “Han Solo HP,” is an indica dominant hybrid strain (70% indica/30% sativa) created through crossing the potent Han Solo Burger X Black Triangle Kush strains. A delectably potent indica with a classic flavor, Han Solo Hashplant is a great choice for anyone looking for a soothing, calming nighttime high. The high settles in with a creeping build, slowly working its way through both mind and body before suddenly taking hold. You'll suddenly feel lifted and euphoric, filled with a boost in creativity and sociability that's perfect for getting you chatting in any social situation. A giggly sense comes next, which can have you laughing uncontrollably at anything around you for any reason at all. A relaxing body high rounds out the effects, helping your physical form settle down into a state of pure calm and ease. Combined with its high 20-30% average THC level, these effects make Han Solo Hashplant a great choice for experienced patients suffering from chronic pain, insomnia, depression or mood swings, chronic stress and appetite loss. This bud has a spicy vanilla and woody pine flavor with a pungent dank aroma to go with it. Han Solo Hashplant buds have pepper-shaped minty green nugs with purple leaves, thick reddish-orange hairs and chunky amber-tinted white crystal trichomes.","Hash Burger is an indica-dominant hybrid made by crossing Han Solo Hash Plant with Double Burger. Its bold flavor blends spicy lemon hash, woody pine, and floral notes, with a rich, intense aroma. Bringing an uplifting mental high that clears negative thoughts, followed by deep physical relaxation that can lead to couch-lock and a restful sleep, Hash Burger's calming effects are perfect for unwinding and relief from insomnia, chronic stress, PTSD, and mood swings.",,
sour  Cream Pie,Flower,ice cream Cake,Sherb BX1,,"Sherb Cream Pie is an indica dominant hybrid strain (70% indica/30% sativa) created through crossing the delicious Ice Cream Cake X Sherb BX1 strains. This tasty bud packs a mouthwatering flavor and soothing, stoney high that will have you feeling like you don't have a care in the world. The flavor of Sherb Cream Pie is out of this world, with a sweet and creamy cake overtone accented by sour, citrusy lemon gelato and a hint of nuttiness. The aroma follows the same profile, although it does bring in touches of woody pine and spicy skunk, too. The Sherb Cream Pie high will settle in slowly, beginning with a droopy, weighty sense that fills your eyes and leaves them super red and droopy. A light relaxation comes next, gaining in potency the more that you toke, eventually leaving your mind totally stoned. A sleepy effect wraps everything up, so get ready to get dozing with this bud! Thanks to these effects and its super high 22-28% average THC level, Sherb Cream Pie is often chosen to treat a variety of conditions including eye pressure or glaucoma, chronic pain, headaches or migraines, chronic stress, insomnia and depression. This bud has oversized and fluffy spade-shaped emerald-green nugs with lots of thin orange hairs and tiny, golden-white crystal trichomes.","Ice Cream Cake is an Indica-dominant hybrid marijuana strain made by crossing Wedding Cake with Gelato #33. This strain offers sedating effects that leave your mind and body completely relaxed. Ice Cream Cake features a creamy flavor profile with sweet hints of vanilla and sugary dough. This strain is reported by medical marijuana patients and consumers to have calming effects that help with pain, sleep, and anxiety. Ice Cream Cake weed is ideal for night time use when you have nothing important to do except watch TV and fall asleep.","Sherb Cream Pie is an indica-dominant hybrid strain (70% indica/30% sativa) created by crossing the flavorful Ice Cream Cake and Sherb BX1 strains. This delicious bud offers a mouthwatering flavor profile and a soothing, stoney high that leaves you feeling carefree and relaxed.

The flavor of Sherb Cream Pie is truly exceptional, with a sweet, creamy cake base complemented by sour, citrusy lemon gelato and a touch of nuttiness. The aroma mirrors this profile, but also includes hints of woody pine and spicy skunk.

The high from Sherb Cream Pie creeps in slowly, starting with a heavy, droopy sensation that fills your eyes and leaves them red and heavy. As you continue to smoke, a gentle relaxation sets in, gradually intensifying until your mind becomes fully stoned. This leads to a final sleepy effect, making it the perfect choice for those ready to drift off into slumber.

Thanks to its potent 22-28% average THC content, Sherb Cream Pie is often selected to help manage conditions like eye pressure or glaucoma, chronic pain, headaches or migraines, chronic stress, insomnia, and depression.

Visually, this strain boasts oversized, fluffy, spade-shaped emerald-green buds, adorned with thin orange hairs and a dusting of golden-white trichomes.","Sour Cream Pie is a potent indica-dominant hybrid (70% indica/30% sativa) created by crossing Ice Cream Cake and Sherb BX1. It delivers a sweet, creamy cake flavor with hints of lemon gelato, nuttiness, and a touch of pine and skunk in the aroma. The high starts with a heavy, relaxing sensation that progresses into a stony, sleepy effect, making it ideal for winding down. With a THC content of 22-28%, it’s commonly used to treat conditions like chronic pain, migraines, insomnia, and stress.

Shorter version: Sour Cream Pie is a 70/30 indica-dominant hybrid (Ice Cream Cake x Sherb BX1) with dense, frosty buds in shades of deep green and purple. Its sweet, creamy cake flavor is layered with lemon gelato, nuts, pine, and skunk. With 22-28% THC, it delivers a heavy, body-melting high that eases into deep relaxation—ideal for pain, migraines, insomnia, and stress relief.",
Key Lime Jack,Conc,Bling Cheesecake,Jack Herer,,"Key Lime Jack is a Sativa weed strain made from a genetic cross between Bling Cheesecake and Jack Herer. This strain is 50% sativa and 50% indica. Key Lime Jack is 30% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by Maven Genetics, the average price of Key Lime Jack typically ranges from $10-$15 per gram. We are still learning about Key Lime Jack’s effects, flavors, and medical uses. If you've smoked, dabbed, or consumed Key Lime Jack, please tell us about your experience by leaving a strain review.","Bling Cheesecake is a hybrid weed strain made from a genetic cross between The Bling and Mac And Cheese. This strain is 50% sativa and 50% indica. Bling Cheesecake is 23% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by Garden Remedies, the average price of Bling Cheesecake typically ranges from $10-$15 per gram. We are still learning about Bling Cheesecake’s effects, flavors, and medical uses. If you've smoked, dabbed, or consumed Bling Cheesecake, please tell us about your experience by leaving a strain review.","Keylime Jack is a sativa hybrid strain born from Bling Cheesecake and Jack Herer, offering a balanced blend of effects. It provides a clear-headed, creative boost with potential for relaxation, making it versatile for both day and evening use. The flavor profile is bright and citrusy, with earthy undertones. This strain is perfect for those seeking inspiration or a satisfying way to unwind.",,"Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
Green Crack,Conc,Skunk #1,Afghani,,"Green Crack, also known as ""Green Crush"" and ""Mango Crack,"" is a potent sativa marijuana strain made by crossing Skunk #1 with an unknown indica. This strain is beloved by many consumers for its energizing effects. But don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is a great daytime strain that may help consumers fight fatigue, stress, and depression. Because the name ""Green Crack"" perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.","Skunk #1 is a hybrid marijuana strain that has influenced cannabis on a global scale, parenting a horde of Skunk crosses since it first bloomed in the late 1970s. Sacred Seed Co. originally bred Skunk #1 using diverse genetics from around the world; Afghani, Acapulco Gold, and Colombian Gold varieties converged through an intricate selective breeding process that spanned several generations, and finally the genetic cornerstone of countless cannabis hybrids was born. 

The original Skunk #1 gave rise to several variations that were later harvested in the gardens of Sensi Seeds, Dutch Passion, Flying Dutchmen, Nirvana Seeds, and Royal Queen Seeds. As its name suggests, Skunk #1 buds radiate with an aromatic blend of sour skunkiness and subtle earthy notes. This hybrid offers elevated creativity through its high-energy buzz, while stress and appetite loss melt away with Skunk #1’s potency.","Green Crack Sugar is a hybrid strain that blends the energetic, creative buzz of Skunk #1 with the deep relaxation and euphoria of Afghani. Its flavor profile is rich, featuring sweet, earthy notes with a strong skunky aroma. This strain offers a balanced experience, providing both mental uplift and physical calm. It's an excellent choice for alleviating stress, pain, and insomnia.",,"Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
Gelato 41,Conc,Sunset Sherbert,Thin Mint Cookies,,"Gelato #41 is a hybrid strain that is high in THC and offers a heavy, relaxing body high without clouding the mind. Gelato 41 is made by crossing Sunset Sherbert and Thin Mint Cookies. This strain has buds that grow in an array of colors, from light green to purple, with trichomes that put out a sweet and earthy aroma alongside hints of lavender and pine. New consumers should know that Gelato 41 is potent and the high is best reserved for those looking for a new heavy hitter. This strain comes from the Cookies Family in California.","Sherbert, also known as ""Sherbet"", ""Sherbert OG"", ""Sunset Sherbet"", and ""Sunset Sherbert"" is an indica-dominant hybrid marijuana strain made by crossing Girl Scout Cookies with Pink Panties. This strain exhibits powerful, full-body effects that are elevated by a jolt of cerebral energy and carefree state of mind. Sherbet boasts a THC level of 18% and may be overwhelming to novice cannabis consumers. The high potency of Sherbert makes it an ideal choice for medical marijuana patients seeking relief from symptoms associated with stress, tension, and mood disorders. This strain features a sweet, dessert-like flavor profile with notes of skunky citrus, sweet berry, and candy. The average price per gram of Sherbert is $20, but may vary based on your location. According to growers, Sherbert flowers into oblong fluffy nugs with rich trichome coverage and dark amber hairs throughout light and dark green foliage. This strain was originally bred by Mr. Sherbinski, who bred Sherbert intentionally to inherit the genetic lineage of its parent strain Girl Scout Cookies.","Gelato 41 Sauce is a potent hybrid that blends the full-body relaxation and cerebral uplift of Sunset Sherbert with the minty-sweet effects of Thin Mint Cookies. It features a rich, dessert-like flavor profile with skunky citrus, sweet berry, and a touch of mint. This strain is ideal for those looking to relieve stress, pain, and appetite loss. Gelato 41 Sauce offers a powerful yet enjoyable experience for seasoned cannabis enthusiasts.",,"Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
Mac 1,Conc,Alien Cookies,,,"MAC, also known as ""Miracle Alien Cookies"" or simply ""Miracle Cookies,"" is a indica marijuana strain made by crossing Alien Cookies with Starfighter and Columbian. MAC produces creative effects that are happy and uplifting. This strain features a smooth orange flavor that is balanced out by floral accents on a sweet, earthy finish. Growers say MAC nugs are gorgeous and covered in resin. Medical marijuana patients choose this strain to help relieve symptoms associated with stress and depression.","Jaws Gear Genetics gave us Alien Cookies by crossing GSC with Aliendawg. It is said to have pungent earthy and vanilla flavors coming from dark colored buds that are drenched in trichomes. It is hard to find, so if you get your hands on Alien Cookies, make sure to savor every moment.","Alien Mac Sugar is a potent indica that merges the earthy vanilla flavors of Alien Cookies with the citrusy and floral notes of MAC 1. It offers a balanced high that is both creatively uplifting and calming for the body. This strain is ideal for those seeking to elevate their mood while enjoying deep relaxation. Perfect for unwinding, Alien Mac Sugar delivers a rich, complex flavor experience.",,"Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
Cherry Runtz Sugar,Conc,Cherry Runtz,,,"Cherry Runtz is a indica weed strain made by crossing Runtz and Cherry Pie, with the big, beautiful purple buds to match. The effects of Cherry Runtz are believed to be euphoric and tingly. Reviewers on Leafly say Cherry Runtz makes them feel aroused, giggly, and sleepy. Cherry Runtz has 17% THC and 1% CBG. The dominant terpene in this strain is limonene, with a lavender aroma and flavors of berry and rose. Medical marijuana patients say they buy this strain when mitigating symptoms of anxiety, depression, and insomnia. The original breeder of Cherry Runtz is Elev8 Seeds.","Runtz, also known as ""Runtz OG,"" is a rare type of  hybrid marijuana strain. Runtz is made by Cookies Fam by crossing  Zkittlez with Gelato and it is loved for its incredibly fruity flavor profile that smells just like a bag of the sugary candy we all know and love. Because of the rising popularity of this cannabis strain, it's no surprise Runtz was named Leafly Strain of the Year in 2020. Runtz is celebrated for its creamy smoke that is smooth and welcoming. This strain of weed produces euphoric highs and uplifting effects that are known to be long-lasting. Purple Caper Seeds released the same cross under the name Gelato Zkittlez.","Obama Runtz Sauce is a flavorful indica blending OG Kush’s fuel notes with Runtz’s sweet candy profile. It delivers uplifting euphoria and soothing relaxation in a smooth, creamy smoke—perfect for unwinding with lasting effects.",,"Tingly ,Giggly ,Euphoric | Euphoric ,Uplifted ,Relaxed | Uplifted ,Giggly ,Talkative | Tingly ,Giggly ,Euphoric"
Obama Runtz,Conc,Black Cherry Gelato,Grapes & Cream,Black Cherry Funk,"Black Cherry Funk is an evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the infamous DJ Short's Blueberry X Black Cherry Soda strains. Looking for a super crazy flavor with effects to match? You've found it with Black Cherry Funk. This bud brings on a heavy punch of pungent creamy flavor with hints of fresh blueberries, sweet pine and mouthwatering licorice. The aroma is just as heavy, although with a flowery overtone of freshly picked lavender and pine. The Black Cherry Funk high hits both mind and body, leaving you feeling lifted yet somehow locked down. The cerebral effects come first, boosting your spirits and filling your mind with a blissful and unfocused haze. While you fall into this heady euphoria, a relaxing body stone will creep over you, suddenly dropping you into sleepy sedation before you finally fade away into blackness. Combined with its super high 23-24% average THC level, these effects make Black Cherry Funk ideal for treating chronic pain, depression, mood swings, chronic fatigue and chronic stress or anxiety. This bud has small rounded dense dark olive green nugs with thin amber hairs and a thin and frosty coating of sparkling tiny white trichomes.","Acai Berry Gelato is a sativa-dominant hybrid cannabis strain made by crossing Thin Mint Cookies and Sunset Sherbet; it’s a gorgeous, deep purple plant dripping with trichomes. The effects of Acai Berry Gelato are believed to be energetic and focusing. Reviewers on Leafly say Acai Berry Gelato makes them feel happy, talkative, and uplifted. Acai Berry Gelato has as much as 32% THC. The dominant terpene is limonene, with a nose that is earthy, tropical citrus, and flavors of sweet cream and berries. Medical marijuana patients say they often buy this strain during episodes of ADHD. The original breeder of Acai Berry Gelato is Sherbinski.","A balanced hybrid from Black Cherry Funk and Acai Berry Gelato, this strain offers sweet cherry and creamy gelato flavors with earthy citrus undertones. It provides a euphoric, uplifting mental boost followed by relaxing body effects, making it ideal for stress, anxiety, and mild pain relief. A flavorful, all-day strain for a happy and calm experience.",,Sour Apple
Purple Punch,Conc,Larry OG,Grand Daddy Purps,,"Larry OG, also known as ""Lemon Larry,"" ""Sour Larry,"" and ""Zour Larry"" is yet another member of the famous ocean-grown strain family. Originally created in Orange County, this indica marijuana strain is a cross between OG Kush and SFV OG. Larry OG produces a potent yet easy body buzz that will allow you to relax while getting things done. The effects of Larry OG are happy but not overwhelming. Like other members of the OG family, this strain has a very clean and piney aroma. The nugs tend to be dense and feature distinct burnt orange hairs that are longer than average.","Granddaddy Purple is an indica marijuana strain that goes by many different names, including ""Grand Daddy Purp,"" ""Granddaddy Purps,"" ""GDP,"" and ""Grandaddy Purple Kush."" Popularized in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Mendo Purps, Skunk, and Afghanistan. Other people claim it is Big Bud x Purple Urkle. Either way, this California staple inherits a complex grape and berry aroma from its Purps and Ghani heritage. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin. Its potent effects are clearly detectable in both mind and body, delivering a fusion of cerebral euphoria and physical relaxation. While your thoughts may float in a dreamy buzz, your body is more likely to find itself fixed in one spot for the duration of GDP’s effects. Granddaddy Purple is typically pulled off the shelf for consumers looking to combat pain, stress, insomnia, appetite loss, and muscle spasms. GDP blesses growers with massive yields which are ready for harvest following a 60 day flowering time indoors.",,,
Carbon Fiber,Vapes,Biscotti,,,"Carbon Fiber is a hybrid weed strain made from a genetic cross between Grape Pie, Biscotti, and Cookies and Cream. Carbon Fiber is 24% THC and 1% CBG, making this strain an ideal choice for moderate and experienced cannabis consumers. Leafly customers tell us Carbon Fiber effects include talkative, aroused, and euphoric. Medical marijuana patients often choose Carbon Fiber when dealing with symptoms associated with lack of appetite, anxiety, and depression. Bred by the incomparable Cannarado Genetics, Carbon Fiber features flavors like pepper, earthy, and chemical. The dominant terpene of this strain is caryophyllene.","Biscotti is a potent indica-dominant hybrid marijuana strain reportedly made by crossing Gelato 25 with Sour Florida OG. Others report that Biscotti is Motorbreath x G41. This strain produces a cerebral high that leave consumers feeling relaxed, creative, and buzzy from head-to-toe. The effects of Biscotti are known to creep up on consumers, so it's best to take it slow with this strain. In terms of flavor, Biscotti tastes like sweet cookies with undertones of diesel. With a THC level of 21%, medical marijuana patients turn to this strain to relieve symptoms associated with stress, anxiety, and depression. The striking trichome coverage of this strain gives it top shelf appeal.","Carbon Fiber is a delightful hybrid that blends the best of both parent strains, offering a calming yet euphoric experience. The strain starts with a gentle cerebral lift from Biscotti's creative buzz, followed by Grape Pie's soothing body relaxation, perfect for unwinding after a long day. Its flavor is a delicious fusion of sweet cookies, diesel, and a tart grape finish that lingers on the palate. With a balanced high and delectable flavor, it is ideal for easing stress, anxiety, and finding comfort in creativity.",,"Talkative ,Relaxed ,Aroused | Tingly ,Relaxed ,Euphoric | Relaxed ,Euphoric ,Happy"
Skywalkwer Haze,Vapes,Blueberry,Amnesia,,"Skywalker Haze is a sativa dominant hybrid weed strain made from a genetic cross between Blueberry and Mazar, which was then crossed with a potent Amnesia clone. This strain is 70% sativa and 30% indica. Skywalker Haze is a hard-hitting, citrusy, and frosty strain that packs a legendary punch. This strain is known to help patients cope with symptoms of pain, anxiety, and sleeplessness. Skywalker Haze is 20-25% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Skywalker Haze effects include feeling happy, energetic, and creative. Medical marijuana patients often choose Skywalker Haze when dealing with symptoms associated with stress, depression, and fatigue. Bred by Dutch Passion, Skywalker Haze features flavors like lemon, haze, and spice. The dominant terpene of this strain is caryophyllene.","Blueberry, also known as ""Berry Blue,"" is an indica marijuana strain made by crossing Purple Thai with Thai. A true A-List cannabis strain, Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best indica. The long history of the strain goes back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation, the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria.","Sky Haze combines the iconic, sweet blueberry flavor of Blueberry with the invigorating, euphoric effects of Amnesia. This balanced hybrid delivers a burst of creativity and mental clarity, followed by a relaxing body high that soothes without being overwhelming. Ideal for daytime use, Sky Haze is perfect for those seeking relief from stress or mood disorders while still staying active and focused. With its smooth berry notes and uplifting experience, this strain brings together the best of both worlds.",,"Energetic ,Giggly ,Creative | Giggly ,Talkative ,Happy"
Sweet Pink Grapefruit,Vapes,Skunk #1,,,,,,,
white runtz,Vapes,ice cream cake,,,,,,,
WHITE MISO,Vapes,God's Breath,Kosher Kush,,"White MISO and indica straing its fruit-forward flavor has tones of citrus and herbs that taste like fruit of the gods. All you need is a comfy place to chill and get ready for a pain-free, stress-free, otherworldly experience.","God's Breath is a heavily indica dominant hybrid strain (90% indica/10% sativa) created through crossing the potent Peanut Butter Breath X Strawberry Pinecone strains. This tasty bud offers an amazing flavor that will have you believing in a higher power after just one delicious little toke. The taste of God's Breath will leave you coming back for more again and again, with a blend of sweet, sugary berries, freshly picked strawberries and nutty cookies dancing across your tongue. The aroma is just as delightful, blending together woody pine with sugary, fruity strawberries and a hint of spice. The God's Breath high will settle in slowly, beginning with a subtle lift that fills the mind with a boosted happiness. As your mood is boosted, you'll soon find that your body will begin to settle down into a place of deep relaxation that will have you locked completely down to the couch or bed. This combination can often turn sedative, leaving you dozing off before you know what's happening. In combination with its super high 20-28% average THC level, these effects make God's Breath a great option for treating experienced patients suffering from conditions including chronic stress or anxiety, PTSD, depression or mood swings, chronic pain and insomnia. This bud has fluffy and oversized, grape-shaped forest green nugs with super thin orange hairs and chunky white trichomes.","Mule Fuel packs a punch straight from the stables—this indica-leaning hybrid kicks off with a heady buzz before trotting into full-body relaxation. Born from GMO Cookies and Lurch, it's got that loud, fuel-forward funk with hints of tobacco, spice, and earthy kush. The high gallops in fast, lifting your mood before settling you deep into the couch. With frosty green buds and THC levels that don’t mess around, this one’s a favorite for taming stress, sleepless nights, and sore muscles. Saddle up—this strain doesn’t hold back.","Mule Fuel is a potent hybrid with a fuel-forward aroma and earthy spice. It hits fast with a euphoric buzz, then melts into deep relaxation—perfect for stress, insomnia, and muscle pain.",
